architecture,accuracy,precision,recall,f1,threshold,forward_only_ms,tensor_create_plus_forward_ms,batch_per_sequence_ms,window_seconds,train_seconds,best_epoch,epochs_trained,parameter_count
rnn,0.802886,0.797078,0.746313,0.770861,0.5300,0.236367,0.238375,0.016269,2.000,41.875,14,19,13505
transformer,0.882833,0.922492,0.803804,0.859068,0.8100,0.187476,0.189368,0.069588,2.000,265.139,9,15,67969
